7021020005,BP-C200,Salem Black Cemetery,,,TxHistCems,,True,True,,Bastrop,11,,,,,,False,,,,,,,,,,,,,,,,,1374
7049000805,BR-C008,Salem Cemetery,,From Brownwood go 11 miles west through Bangs on SH 67. Turn north on FM 585. Travel 1.7 miles and turn west on CR 139. Cemetery is 2 miles down the north side of the road.,,3199-442,False,False,Bangs,Brown,25,vol 1557 page 505-506,2/14/2005 12:00:00 AM,4.9 acres,115,late 19th century to present,True,cemetery,USGS,,,,,,,,,,,,,,,1574
7051001605,BU-C016,Birch Cemetery,"United Church of Christ at Birch Cemetery, Old Birch, Salem","F.M. 60 about. 7 miles W. of Lyons. On Farm Road 60 and Birch Creek eight miles northwest of Somerville. Hwy 60, going toward Birch Creek State Park-- between Birch Creek and Hickory Creek","GNIS; TxDoT; Parsons, Kim, Ref. to Texas Cemeteries, 1988; Handbook of Texas; Tx Funeral Services Commission",3096-242,True,True,,Burleson,26,,,,,,False,cemetery,USGS,,,,,,,,,,,,,,,1768
7051003105,BU-C031,Salem Baptist Cemetery,Post Oak Cemetery,About 1 1/2 ml. N. of Cooks point off CR 217.,"GNIS; TxDoT; Parsons, Kim, Ref. to Texas Cemeteries, 1988; Rootsweb",3096-311,True,True,Cooks Point,Burleson,26,,7/13/2009 12:00:00 AM,200 ft x 200 ft,30,1880-1934,True,cemetery,USGS,,,,,,,,,,,,,,,1783
7037006405,BW-C064,unknown (Old Salem)," ",,,3394-244,False,False,,Bowie,19,,,,,,False,cemetery,USGS,,,,,,,,,,,,,,,1948
7029003405,BX-C034,Salem Cemetery,Garden of Memory,9827 Loop 106,,2998-134,False,False,San Antonio,Bexar,15,doc 20060294897,12/8/2006 12:00:00 AM,5 acres,750,1880 to present,True,cemetery,USGS,,,,,,,,,,,,,,,2010
7041001105,BZ-C011,Wellborn Cemetery,Salem Cemetery,From Bryan take Texas Ave. (Bus. Hwy 6) south 2.5 miles to Villa Maria Road for 1 mile. Turn left on Wellborn Road (FM 2154) immediately before the RR tracks 8.3 miles to the Wellborn Community. Turn left on Green’s Prairie Road. The cemetery is .1 mile on the right.,"Brazos Genealogical Association, The Brazos County Texas Cemeteries, 1997; Parsons, Kim, Ref. to Texas Cemeteries, 1988; They-Speak.com; rootsweb; USGS; TxDot 1998 map; THC atlas",3096-421,True,True,,Brazos,21,,,,,,False,cemetery,USGS,,,,,,,,,,,,,,,2132
7041001205,BZ-C012,College Station Cemetery,"Shiloh Community Cemetery, Rector’s Chapel Cemetery, Salem Cemetery","Located at 2500 Texas Ave South in the city of College Station, Texas. From courthouse take Texas Avenue (Bus. Hwy 6) south for 6.4 miles. The cemetery is on the right.","Brazos Genealogical Association, The Brazos County Texas Cemeteries, 1997; Parsons, Kim, Ref. to Texas Cemeteries, 1988; They-Speak.com; rootsweb; TxDot 1998 map",3096-421,True,True,,Brazos,21,,,,,,False,cemetery,USGS,,,,,,,,,,,,,,,2133
7041007305,BZ-C073,Salem Cemetery,Wellborn Cemetery,"From Bryan take Texas Ave. (Bus. Hwy 6) south 2.5 miles to Villa Maria Road. Turn right on Villa Maria Road for 1 mile. Turn left on Wellborn Road (FM  2154) immediately before the RR tracks, for 8.2 miles to the Wellborn Community. From Wellborn turn right on Koppe Bridge Road for .6 miles.  Turn left on gravel Road .4 miles. The cemetery is on the right.","Brazos Genealogical Association, The Brazos County Texas Cemeteries, 1997; Parsons, Kim, Ref. to Texas Cemeteries, 1988",3096-421,True,True,,Brazos,21,,,,,,False,,,,,,,,,,,,,,,,,2190
7073009205,CE-C092,unknown (Salem)," ",,,3195-442,False,False,,Cherokee,37,,,,,,False,cemetery,USGS,,,,,,,,,,,,,,,2427
7067003605,CS-C036,Salem," ",,,3294-434,False,False,,Cass,34,,,,,,False,cemetery,USGS,,,,,,,,,,,,,,,3275
7067005705,CS-C057,unknown (Salem Ch)," ",,,3394-114,False,False,,Cass,34,,,,,,False,cemetery,USGS,,,,,,,,,,,,,,,3296
7067005805,CS-C058,unknown (Salem Ch)," ",,,3394-114,False,False,,Cass,34,,,,,,False,cemetery,USGS,,,,,,,,,,,,,,,3297
7147001905,FN-C019,New Salem Cemetery,,New Salem Cemetery is located on CR 2805 just off Hwy 100 north of Honey Grove.,THC records; Fannin Co Cemetery Association; TxHistCems website,3395-323,True,True,Selfs,Fannin,74,,11/26/2003 12:00:00 AM,1.4 acres,200,1840s to present,True,cemetery,USGS,,,,,,,,,,,,,,,4530
7161000105,FT-C001,Salem Cemetery #1,Salem Predestinarion Primitive Baptist Cemetery,The cemetery is located 4.5 miles south of Teague on FM 80 at CR 731; one mile to cemetery. Take Hwy 80 out of Teague or Donie (cemetery is 4.5 miles) (half-way) between these two towns. On Hwy 80 you will find a state highway marker indicating which way to go; it is .5 miles down the road.,"Freestone County Sheriff’s office by J. R. Sessions, Jr., Sheriff; Morrow, Betty Moss, THC Library; Parsons, Kim, Ref. to Texas Cemeteries, 1988; Freestone County Historical Commission; THC records",3195-321,True,True,Teague,Freestone,81,,5/15/2001 12:00:00 AM,,954,mid-19th century to present,True,cemetery,USGS,,,,,,,,,,,,,,,4784
7161002205,FT-C022,Philpott Cemetery,,"Very difficult to locate; it is located on FM 489 (Freestone to Dew Road), 1.3 miles from the Salem Missionary Baptist Church and Cemetery. From Teague; take Hwy 80 to Freestone. Go left on FM 489 and if you reach Salem Missionary Baptist Church you have gone too far. There will be two houses on the left 1.3 miles before reaching Salem Baptist. The cemetery is 2 city blocks from the road. Go through the gate to the right of the house and follow a cattle drive. The cemetery is on the left in a clump of trees. It is fenced in barbed wire and cyclone fence.","Freestone County Sheriff’s office by J. R. Sessions, Jr., Sheriff; Morrow, Betty Moss, THC Library",3196-412,True,True,,Freestone,81,,,,,,False,cemetery,USGS,,,,,,,,,,,,,,,4805
7161002305,FT-C023,Salem," ",,,3196-412,False,False,,Freestone,81,,,,,,False,cemetery,USGS,,,,,,,,,,,,,,,4806
